"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2019;"01000";"2000125";"47.57";"kg";"Oui";"Non"
2019;"01000";"2000201";"50";"l";"Non";"Non"
2019;"01000";"2000369";"0.3";"kg";"Non";"Non"
2019;"01000";"2000510";"990";"kg";"Oui";"Non"
2019;"01000";"2010023";"11";"l";"Non";"Non"
2019;"01000";"2010130";"10";"kg";"Non";"Non"
2019;"01000";"2010239";"5";"l";"Non";"Non"
2019;"01000";"2010280";"10";"l";"Non";"Non"
2019;"01000";"2010319";"25";"l";"Oui";"Non"
2019;"01000";"2010410";"1.5";"kg";"Oui";"Non"
2019;"01000";"2010415";"10";"l";"Non";"Non"
2019;"01000";"2010509";"12";"kg";"Non";"Non"
2019;"01000";"2020021";"5";"l";"Non";"Non"
2019;"01000";"2020069";"5";"l";"Non";"Non"
2019;"01000";"2020241";"0.5";"kg";"Non";"Non"
2019;"01000";"2030323";"0.24";"l";"Non";"Non"
2019;"01000";"2040146";"13.59";"l";"Non";"Non"
2019;"01000";"2060088";"15";"l";"Non";"Non"
2019;"01000";"2060131";"15";"l";"Oui";"Non"
2019;"01000";"2060194";"12";"kg";"Non";"Non"
2019;"01000";"2080029";"15";"l";"Non";"Non"
2019;"01000";"2080094";"3";"kg";"Non";"Non"
2019;"01000";"2080112";"0.34";"l";"Non";"Non"
2019;"01000";"2080145";"20";"l";"Non";"Non"
2019;"01000";"2090008";"0.99";"l";"Non";"Non"
2019;"01000";"2090037";"2";"kg";"Non";"Non"
2019;"01000";"2090050";"672";"kg";"Non";"Non"
2019;"01000";"2090053";"20";"l";"Non";"Non"
2019;"01000";"2090064";"10";"l";"Non";"Non"
2019;"01000";"2090069";"65";"l";"Non";"Non"
2019;"01000";"2090101";"20";"l";"Non";"Non"
2019;"01000";"2090111";"50";"l";"Non";"Non"
2019;"01000";"2090118";"90";"l";"Non";"Non"
2019;"01000";"2090119";"40";"l";"Non";"Non"
2019;"01000";"2090146";"77.6";"l";"Oui";"Non"
2019;"01000";"2090153";"16";"kg";"Non";"Non"
2019;"01000";"2090160";"65";"l";"Non";"Non"
2019;"01000";"2090186";"32.4";"l";"Non";"Non"
2019;"01000";"2100030";"20";"kg";"Non";"Non"
2019;"01000";"2100051";"500";"l";"Non";"Non"
2019;"01000";"2100052";"20";"l";"Non";"Non"
2019;"01000";"2100056";"10";"l";"Non";"Non"
2019;"01000";"2100108";"100";"l";"Non";"Non"
2019;"01000";"2100138";"5";"l";"Non";"Non"
2019;"01000";"2100179";"90";"l";"Non";"Non"
2019;"01000";"2110007";"0.15";"kg";"Non";"Non"
2019;"01000";"2110018";"0.2";"l";"Non";"Non"
2019;"01000";"2110040";"0.6";"kg";"Oui";"Non"
2019;"01000";"2110082";"0.6";"kg";"Non";"Non"
2019;"01000";"2110084";"32";"l";"Oui";"Non"
2019;"01000";"2110090";"3";"l";"Non";"Non"
2019;"01000";"2110096";"15";"l";"Non";"Non"
2019;"01000";"2110102";"48.10";"l";"Non";"Non"
2019;"01000";"2110104";"21";"l";"Non";"Non"
2019;"01000";"2110111";"50";"l";"Non";"Non"
2019;"01000";"2110149";"164";"l";"Oui";"Non"
2019;"01000";"2110150";"43.35";"l";"Oui";"Non"
2019;"01000";"2110154";"3";"l";"Non";"Non"
2019;"01000";"2110177";"10";"l";"Non";"Non"
2019;"01000";"2110180";"1.7";"kg";"Oui";"Non"
2019;"01000";"2110196";"0.8";"kg";"Oui";"Non"
2019;"01000";"2110201";"60";"l";"Non";"Non"
2019;"01000";"2120034";"140";"l";"Non";"Non"
2019;"01000";"2120035";"30";"l";"Non";"Non"
2019;"01000";"2120048";"12";"l";"Non";"Non"
2019;"01000";"2120194";"0.1";"kg";"Non";"Non"
2019;"01000";"2130063";"30";"l";"Non";"Non"
2019;"01000";"2130068";"10";"l";"Non";"Non"
2019;"01000";"2130075";"120";"kg";"Non";"Non"
2019;"01000";"2130081";"60";"kg";"Non";"Non"
2019;"01000";"2130083";"3";"l";"Non";"Non"
2019;"01000";"2130140";"50";"l";"Non";"Non"
2019;"01000";"2130153";"60";"l";"Oui";"Non"
2019;"01000";"2130164";"5";"l";"Non";"Non"
2019;"01000";"2130202";"15";"l";"Non";"Non"
2019;"01000";"2140040";"15";"kg";"Non";"Non"
2019;"01000";"2140088";"15";"l";"Non";"Non"
2019;"01000";"2140098";"25";"l";"Non";"Non"
2019;"01000";"2140121";"350.35";"l";"Oui";"Non"
2019;"01000";"2140166";"46";"l";"Oui";"Non"
2019;"01000";"2140167";"71";"l";"Oui";"Non"
2019;"01000";"2140173";"10";"l";"Non";"Non"
2019;"01000";"2140175";"25";"l";"Non";"Non"
2019;"01000";"2140193";"15";"l";"Oui";"Non"
2019;"01000";"2140252";"184.25";"kg";"Oui";"Non"
2019;"01000";"2140258";"15";"l";"Non";"Non"
2019;"01000";"2140261";"0.7";"kg";"Non";"Non"
2019;"01000";"2150012";"4";"l";"Non";"Non"
2019;"01000";"2150417";"1.79";"kg";"Oui";"Non"
2019;"01000";"2150483";"180";"kg";"Non";"Non"
2019;"01000";"2150790";"213.36";"kg";"Oui";"Non"
2019;"01000";"2160064";"50";"l";"Non";"Non"
2019;"01000";"2160115";"248.85";"l";"Oui";"Non"
2019;"01000";"2160260";"45";"l";"Non";"Non"
2019;"01000";"2160384";"5";"l";"Non";"Non"
2019;"01000";"2160408";"5";"l";"Non";"Non"
2019;"01000";"2160615";"9.8";"kg";"Oui";"Non"
2019;"01000";"2160693";"32";"l";"Non";"Non"
2019;"01000";"2160931";"60";"l";"Non";"Non"
2019;"01000";"2160959";"10";"l";"Non";"Non"
2019;"01000";"2161101";"10";"l";"Non";"Non"
2019;"01000";"2170158";"5";"l";"Non";"Non"
2019;"01000";"2170243";"124.27";"l";"Oui";"Non"
2019;"01000";"2170381";"30";"l";"Non";"Non"
2019;"01000";"2170979";"6";"kg";"Non";"Non"
2019;"01000";"2171250";"4.8";"l";"Oui";"Non"
2019;"01000";"2180124";"0.1";"l";"Non";"Non"
2019;"01000";"2190062";"6";"l";"Non";"Non"
2019;"01000";"7700706";"240";"kg";"Oui";"Non"
2019;"01000";"7900708";"20";"l";"Non";"Non"
2019;"01000";"8300243";"30";"l";"Non";"Non"
2019;"01000";"8400096";"21";"l";"Non";"Non"
2019;"01000";"8700196";"1";"l";"Non";"Non"
2019;"01000";"8700462";"230";"l";"Non";"Non"
2019;"01000";"9000184";"5";"l";"Non";"Non"
2019;"01000";"9000259";"0.12";"kg";"Non";"Non"
2019;"01000";"9000833";"5";"l";"Non";"Non"
2019;"01000";"9100296";"20";"l";"Non";"Non"
2019;"01000";"9100418";"11";"l";"Non";"Non"
2019;"01000";"9400008";"2.12";"l";"Non";"Non"
2019;"01000";"9400052";"15";"l";"Non";"Non"
2019;"01000";"9400085";"3";"l";"Non";"Non"
2019;"01000";"9400336";"35";"l";"Non";"Non"
2019;"01000";"9500147";"40.70";"kg";"Oui";"Non"
2019;"01000";"9500581";"35";"l";"Non";"Non"
2019;"01000";"9500628";"6";"kg";"Non";"Non"
2019;"01000";"9600093";"5";"l";"Non";"Non"
2019;"01000";"9600097";"0.36";"l";"Oui";"Non"
2019;"01000";"9600319";"0.8";"l";"Oui";"Non"
2019;"01000";"9600390";"60";"l";"Oui";"Non"
2019;"01000";"9600550";"10";"l";"Non";"Non"
2019;"01000";"9700278";"1";"kg";"Non";"Non"
2019;"01000";"9800182";"10";"l";"Non";"Non"
2019;"01000";"9800201";"5";"l";"Non";"Non"
2019;"01000";"9800259";"75";"l";"Non";"Non"
2019;"01000";"9800280";"1";"l";"Non";"Non"
2019;"01000";"9800336";"5";"l";"Non";"Non"
2019;"01000";"9800344";"3.01";"l";"Non";"Non"
2019;"01000";"9800347";"10";"l";"Non";"Non"
2019;"01000";"9800474";"15";"kg";"Non";"Non"
2019;"01000";"9800481";"120";"l";"Oui";"Non"
2019;"01000";"9800514";"0.05";"kg";"Non";"Non"
2019;"01000";"9900047";"10";"l";"Non";"Non"
2019;"01000";"9900251";"120";"l";"Non";"Non"
2019;"01000";"9900257";"151";"kg";"Oui";"Non"
2019;"01090";"2000003";"7.65";"l";"Non";"Non"
2019;"01090";"2000122";"0.62";"l";"Non";"Non"
2019;"01090";"2000125";"5.29";"kg";"Oui";"Non"
2019;"01090";"2000294";"2.6";"kg";"Non";"Non"
2019;"01090";"2000316";"3";"l";"Non";"Non"
2019;"01090";"2000461";"10";"l";"Non";"Non"
2019;"01090";"2000510";"141.82";"kg";"Oui";"Non"
2019;"01090";"2010239";"5";"l";"Non";"Non"
2019;"01090";"2010280";"25";"l";"Non";"Non"
2019;"01090";"2010410";"0.83";"kg";"Oui";"Non"
2019;"01090";"2010415";"185";"l";"Non";"Non"
2019;"01090";"2010509";"1.8";"kg";"Non";"Non"
2019;"01090";"2010531";"145";"l";"Non";"Non"
2019;"01090";"2010617";"40";"l";"Non";"Non"
2019;"01090";"2020226";"55";"l";"Non";"Non"
2019;"01090";"2030071";"160";"kg";"Non";"Non"
2019;"01090";"2030255";"20";"l";"Non";"Non"
2019;"01090";"2030323";"6.24";"l";"Non";"Non"
2019;"01090";"2040146";"7.26";"l";"Non";"Non"
2019;"01090";"2060050";"0.26";"l";"Non";"Non"
2019;"01090";"2060088";"485";"l";"Non";"Non"
2019;"01090";"2060098";"0.5";"l";"Non";"Non"
2019;"01090";"2060127";"1.75";"l";"Non";"Non"
2019;"01090";"2060194";"12";"kg";"Non";"Non"
2019;"01090";"2070221";"50";"l";"Non";"Non"
2019;"01090";"2080029";"3";"l";"Non";"Non"
2019;"01090";"2080063";"2.76";"kg";"Non";"Non"
2019;"01090";"2080094";"3.38";"kg";"Non";"Non"
2019;"01090";"2080105";"15";"l";"Non";"Non"
2019;"01090";"2080112";"4.48";"l";"Non";"Non"
2019;"01090";"2080117";"0.15";"kg";"Non";"Non"
2019;"01090";"2080123";"0.2";"kg";"Non";"Non"
2019;"01090";"2080125";"1";"kg";"Non";"Non"
2019;"01090";"2080129";"0.85";"l";"Non";"Non"
2019;"01090";"2080145";"10";"l";"Non";"Non"
2019;"01090";"2090008";"6.99";"l";"Non";"Non"
2019;"01090";"2090037";"5";"kg";"Non";"Non"
2019;"01090";"2090041";"26.5";"kg";"Non";"Non"
2019;"01090";"2090050";"4668";"kg";"Non";"Non"
2019;"01090";"2090052";"0.18";"kg";"Non";"Non"
2019;"01090";"2090053";"15";"l";"Non";"Non"
2019;"01090";"2090054";"0.63";"kg";"Non";"Non"
2019;"01090";"2090064";"20";"l";"Non";"Non"
2019;"01090";"2090080";"30";"l";"Non";"Non"
2019;"01090";"2090101";"20";"l";"Non";"Non"
2019;"01090";"2090111";"10.74";"l";"Non";"Non"
2019;"01090";"2090114";"0.5";"kg";"Non";"Non"
2019;"01090";"2090121";"10";"l";"Non";"Non"
2019;"01090";"2090126";"5.85";"l";"Non";"Non"
2019;"01090";"2090127";"1.38";"l";"Non";"Non"
2019;"01090";"2090146";"13.27";"l";"Oui";"Non"
2019;"01090";"2090153";"26";"kg";"Non";"Non"
2019;"01090";"2090159";"2.1";"kg";"Non";"Non"
2019;"01090";"2090160";"1300";"l";"Non";"Non"
2019;"01090";"2090172";"15";"l";"Non";"Non"
2019;"01090";"2090186";"220";"l";"Non";"Non"
2019;"01090";"2090199";"1.4";"l";"Oui";"Non"
2019;"01090";"2100009";"2.16";"kg";"Non";"Non"
2019;"01090";"2100014";"3.3";"kg";"Non";"Non"
2019;"01090";"2100026";"3";"l";"Non";"Non"
2019;"01090";"2100052";"45";"l";"Non";"Non"
2019;"01090";"2100057";"95";"l";"Non";"Non"
2019;"01090";"2100059";"6.5";"l";"Non";"Non"
2019;"01090";"2100065";"0.45";"kg";"Non";"Non"
2019;"01090";"2100078";"1";"l";"Oui";"Non"
2019;"01090";"2100108";"342";"l";"Non";"Non"
2019;"01090";"2100111";"90";"l";"Non";"Non"
2019;"01090";"2100112";"10";"l";"Non";"Non"
2019;"01090";"2100121";"5";"l";"Non";"Non"
2019;"01090";"2100138";"105";"l";"Non";"Non"
2019;"01090";"2100140";"10";"l";"Non";"Non"
2019;"01090";"2100151";"18.04";"l";"Non";"Non"
2019;"01090";"2100177";"1.25";"kg";"Non";"Non"
2019;"01090";"2100179";"40";"l";"Non";"Non"
2019;"01090";"2100181";"3.9";"kg";"Non";"Non"
2019;"01090";"2100221";"3.25";"kg";"Non";"Non"
2019;"01090";"2100231";"1";"kg";"Non";"Non"
2019;"01090";"2110007";"0.75";"kg";"Non";"Non"
2019;"01090";"2110013";"5";"l";"Non";"Non"
2019;"01090";"2110018";"5.85";"l";"Non";"Non"
2019;"01090";"2110020";"2";"l";"Non";"Non"
2019;"01090";"2110040";"0.37";"kg";"Oui";"Non"
2019;"01090";"2110059";"3.9";"kg";"Non";"Non"
2019;"01090";"2110063";"28";"kg";"Non";"Non"
2019;"01090";"2110077";"10";"l";"Non";"Non"
2019;"01090";"2110078";"5";"l";"Non";"Non"
2019;"01090";"2110082";"1.2";"kg";"Non";"Non"
2019;"01090";"2110084";"13.47";"l";"Oui";"Non"
2019;"01090";"2110102";"46.61";"l";"Non";"Non"
2019;"01090";"2110105";"7";"l";"Non";"Non"
2019;"01090";"2110109";"18";"l";"Non";"Non"
2019;"01090";"2110111";"100";"l";"Non";"Non"
2019;"01090";"2110147";"1.3";"kg";"Non";"Non"
2019;"01090";"2110148";"5";"l";"Non";"Non"
2019;"01090";"2110149";"23.94";"l";"Oui";"Non"
2019;"01090";"2110150";"11.37";"l";"Oui";"Non"
2019;"01090";"2110161";"24";"l";"Non";"Non"
2019;"01090";"2110167";"45";"l";"Non";"Non"
2019;"01090";"2110180";"0.44";"kg";"Oui";"Non"
2019;"01090";"2110196";"0.2";"kg";"Oui";"Non"
2019;"01090";"2110201";"50";"l";"Non";"Non"
2019;"01090";"2120034";"180";"l";"Non";"Non"
2019;"01090";"2120048";"28";"l";"Non";"Non"
2019;"01090";"2120120";"5";"l";"Non";"Non"
2019;"01090";"2120132";"3.25";"kg";"Non";"Non"
2019;"01090";"2120194";"0.2";"kg";"Non";"Non"
2019;"01090";"2120205";"80";"l";"Non";"Non"
2019;"01090";"2130032";"25";"l";"Non";"Non"
2019;"01090";"2130049";"1.3";"l";"Non";"Non"
2019;"01090";"2130063";"25";"l";"Non";"Non"
2019;"01090";"2130068";"5";"l";"Non";"Non"
2019;"01090";"2130075";"245";"kg";"Non";"Non"
2019;"01090";"2130081";"100";"kg";"Non";"Non"
2019;"01090";"2130091";"3";"l";"Non";"Non"
2019;"01090";"2130140";"160";"l";"Non";"Non"
2019;"01090";"2130152";"0.26";"l";"Non";"Non"
2019;"01090";"2130153";"43.45";"l";"Oui";"Non"
2019;"01090";"2130164";"65";"l";"Non";"Non"
2019;"01090";"2130202";"15";"l";"Non";"Non"
2019;"01090";"2130253";"45";"l";"Non";"Non"
2019;"01090";"2130256";"10";"l";"Non";"Non"
2019;"01090";"2140098";"115";"l";"Non";"Non"
2019;"01090";"2140121";"102.6";"l";"Oui";"Non"
2019;"01090";"2140152";"20";"l";"Non";"Non"
2019;"01090";"2140166";"6.42";"l";"Oui";"Non"
2019;"01090";"2140173";"1.1";"l";"Non";"Non"
2019;"01090";"2140184";"1.56";"kg";"Non";"Non"
2019;"01090";"2140193";"2.2";"l";"Oui";"Non"
2019;"01090";"2140252";"7.81";"kg";"Oui";"Non"
2019;"01090";"2140255";"10";"l";"Non";"Non"
2019;"01090";"2140258";"160";"l";"Non";"Non"
2019;"01090";"2150012";"3";"l";"Non";"Non"
2019;"01090";"2150022";"35";"l";"Non";"Non"
2019;"01090";"2150084";"55";"l";"Non";"Non"
2019;"01090";"2150124";"2.16";"l";"Non";"Non"
2019;"01090";"2150245";"39";"l";"Non";"Non"
2019;"01090";"2150417";"0.76";"kg";"Oui";"Non"
2019;"01090";"2150484";"8";"l";"Non";"Non"
2019;"01090";"2150790";"27.50";"kg";"Oui";"Non"
2019;"01090";"2160115";"57.6";"l";"Oui";"Non"
2019;"01090";"2160198";"25";"l";"Non";"Non"
2019;"01090";"2160226";"120";"kg";"Non";"Non"
2019;"01090";"2160260";"15";"l";"Non";"Non"
2019;"01090";"2160384";"28";"l";"Non";"Non"
2019;"01090";"2160479";"5";"l";"Non";"Non"
2019;"01090";"2160555";"3.9";"kg";"Non";"Non"
2019;"01090";"2160615";"1.35";"kg";"Oui";"Non"
2019;"01090";"2160617";"67.5";"l";"Non";"Non"
2019;"01090";"2160693";"31";"l";"Non";"Non"
2019;"01090";"2160704";"70";"kg";"Non";"Non"
2019;"01090";"2160931";"26.25";"l";"Non";"Non"
2019;"01090";"2160959";"10";"l";"Non";"Non"
2019;"01090";"2161101";"15";"l";"Non";"Non"
2019;"01090";"2170243";"23.06";"l";"Oui";"Non"
2019;"01090";"2170381";"115";"l";"Non";"Non"
2019;"01090";"2170977";"2.17";"l";"Oui";"Non"
2019;"01090";"2170978";"1.46";"l";"Oui";"Non"
2019;"01090";"2171067";"5.88";"l";"Oui";"Non"
2019;"01090";"2180009";"9";"kg";"Non";"Non"
2019;"01090";"2180088";"20";"l";"Non";"Non"
2019;"01090";"2180404";"300";"l";"Non";"Non"
2019;"01090";"2180864";"40";"l";"Non";"Non"
2019;"01090";"2190062";"8";"l";"Non";"Non"
2019;"01090";"7900708";"25";"l";"Non";"Non"
2019;"01090";"8300063";"100";"l";"Non";"Non"
2019;"01090";"8400096";"69";"l";"Non";"Non"
2019;"01090";"8400574";"5";"l";"Non";"Non"
2019;"01090";"8600243";"30";"l";"Non";"Non"
2019;"01090";"8700020";"20";"l";"Non";"Non"
2019;"01090";"8700196";"1";"l";"Non";"Non"
2019;"01090";"8700462";"310";"l";"Non";"Non"
2019;"01090";"8800488";"5";"l";"Non";"Non"
2019;"01090";"8800504";"1";"l";"Non";"Non"
2019;"01090";"8900564";"5";"l";"Non";"Non"
2019;"01090";"8900681";"10";"l";"Non";"Non"
2019;"01090";"9000184";"85";"l";"Non";"Non"
2019;"01090";"9000222";"17.46";"l";"Non";"Non"
2019;"01090";"9000490";"25";"l";"Non";"Non"
2019;"01090";"9000619";"60";"l";"Non";"Non"
2019;"01090";"9000833";"30";"l";"Non";"Non"
2019;"01090";"9100046";"47";"l";"Non";"Non"
2019;"01090";"9100296";"80";"l";"Non";"Non"
2019;"01090";"9100418";"65";"l";"Non";"Non"
2019;"01090";"9200078";"10";"l";"Non";"Non"
2019;"01090";"9200548";"7.48";"l";"Non";"Non"
2019;"01090";"9300309";"18";"l";"Non";"Non"
2019;"01090";"9400008";"0.2";"l";"Non";"Non"
2019;"01090";"9400085";"6";"l";"Non";"Non"
2019;"01090";"9400133";"10";"l";"Non";"Non"
2019;"01090";"9400485";"3.9";"l";"Non";"Non"
2019;"01090";"9500147";"3.25";"kg";"Oui";"Non"
2019;"01090";"9600093";"20";"l";"Non";"Non"
2019;"01090";"9600197";"1.5";"kg";"Non";"Non"
2019;"01090";"9600368";"5.52";"kg";"Non";"Non"
2019;"01090";"9600390";"260";"l";"Oui";"Non"
2019;"01090";"9600548";"5";"l";"Non";"Non"
2019;"01090";"9600550";"30";"l";"Non";"Non"
2019;"01090";"9800085";"15";"l";"Non";"Non"
2019;"01090";"9800182";"105";"l";"Non";"Non"
2019;"01090";"9800235";"5";"l";"Non";"Non"
2019;"01090";"9800259";"330";"l";"Non";"Non"
2019;"01090";"9800334";"0.27";"l";"Oui";"Non"
2019;"01090";"9800336";"43.25";"l";"Non";"Non"
2019;"01090";"9800344";"8.83";"l";"Non";"Non"
2019;"01090";"9800402";"1";"l";"Oui";"Non"
2019;"01090";"9800420";"0.78";"l";"Non";"Non"
2019;"01090";"9800481";"5.92";"l";"Oui";"Non"
2019;"01090";"9900047";"15";"l";"Non";"Non"
2019;"01090";"9900251";"80";"l";"Non";"Non"
2019;"01090";"9900257";"15";"kg";"Oui";"Non"
2019;"01100";"2000125";"20.37";"kg";"Oui";"Non"
2019;"01100";"2000201";"2.28";"l";"Non";"Non"
2019;"01100";"2000510";"590.11";"kg";"Oui";"Non"
2019;"01100";"2010319";"5";"l";"Oui";"Non"
2019;"01100";"2010509";"4.4";"kg";"Non";"Non"
2019;"01100";"2040146";"0.65";"l";"Non";"Non"
2019;"01100";"2060086";"1.25";"kg";"Non";"Non"
2019;"01100";"2080105";"5";"l";"Non";"Non"
2019;"01100";"2090008";"0.21";"l";"Non";"Non"
2019;"01100";"2090037";"2";"kg";"Non";"Non"
2019;"01100";"2090072";"0.1";"kg";"Non";"Non"
2019;"01100";"2090113";"60";"l";"Non";"Non"
2019;"01100";"2090146";"18.17";"l";"Oui";"Non"
2019;"01100";"2090153";"2";"kg";"Non";"Non"
2019;"01100";"2090158";"10";"l";"Non";"Non"
2019;"01100";"2090199";"0.35";"l";"Oui";"Non"
2019;"01100";"2100009";"1.44";"kg";"Non";"Non"
2019;"01100";"2100138";"5";"l";"Non";"Non"
2019;"01100";"2110084";"25.33";"l";"Oui";"Non"
2019;"01100";"2110096";"15";"l";"Non";"Non"
2019;"01100";"2110102";"10.69";"l";"Non";"Non"
2019;"01100";"2110149";"158.76";"l";"Oui";"Non"
2019;"01100";"2110150";"44.29";"l";"Oui";"Non"
2019;"01100";"2110180";"0.9";"kg";"Oui";"Non"
2019;"01100";"2110196";"0.2";"kg";"Oui";"Non"
2019;"01100";"2120034";"80";"l";"Non";"Non"
2019;"01100";"2120035";"20";"l";"Non";"Non"
2019;"01100";"2120160";"5";"l";"Non";"Non"
2019;"01100";"2120194";"0.1";"kg";"Non";"Non"
2019;"01100";"2130153";"15.35";"l";"Oui";"Non"
2019;"01100";"2140121";"87.86";"l";"Oui";"Non"
2019;"01100";"2140166";"12";"l";"Oui";"Non"
2019;"01100";"2140167";"24";"l";"Oui";"Non"
2019;"01100";"2140193";"11";"l";"Oui";"Non"
2019;"01100";"2140252";"104.86";"kg";"Oui";"Non"
2019;"01100";"2150417";"5.86";"kg";"Oui";"Non"
2019;"01100";"2150790";"174.05";"kg";"Oui";"Non"
2019;"01100";"2160115";"61.33";"l";"Oui";"Non"
2019;"01100";"2160384";"2";"l";"Non";"Non"
2019;"01100";"2160615";"3.6";"kg";"Oui";"Non"
2019;"01100";"2160693";"9";"l";"Non";"Non"
2019;"01100";"2160931";"5";"l";"Non";"Non"
2019;"01100";"2160959";"10";"l";"Non";"Non"
2019;"01100";"2170243";"31.92";"l";"Oui";"Non"
2019;"01100";"2170977";"3.25";"l";"Oui";"Non"
2019;"01100";"2170979";"2";"kg";"Non";"Non"
2019;"01100";"2171250";"3.8";"l";"Oui";"Non"
2019;"01100";"2189993";"0.45";"kg";"Non";"Non"
2019;"01100";"8400096";"3";"l";"Non";"Non"
2019;"01100";"9100296";"30";"l";"Non";"Non"
2019;"01100";"9100418";"1";"l";"Non";"Non"
2019;"01100";"9300189";"1";"l";"Oui";"Non"
2019;"01100";"9400008";"1.36";"l";"Non";"Non"
2019;"01100";"9500147";"25.0";"kg";"Oui";"Non"
2019;"01100";"9600097";"0.72";"l";"Oui";"Non"
2019;"01100";"9800344";"0.79";"l";"Non";"Non"
2019;"01100";"9800481";"33";"l";"Oui";"Non"
2019;"01100";"9900251";"20";"l";"Non";"Non"
2019;"01100";"9900257";"94";"kg";"Oui";"Non"
2019;"01100";"9900282";"0.84";"l";"Oui";"Non"
2019;"01110";"2000294";"3";"kg";"Non";"Non"
2019;"01110";"2060050";"0.2";"l";"Non";"Non"
2019;"01110";"2060088";"5";"l";"Non";"Non"
2019;"01110";"2060127";"7.58";"l";"Non";"Non"
2019;"01110";"2080094";"0.5";"kg";"Non";"Non"
2019;"01110";"2080105";"5";"l";"Non";"Non"
2019;"01110";"2080129";"5";"l";"Non";"Non"
2019;"01110";"2090041";"3.5";"kg";"Non";"Non"
2019;"01110";"2090054";"0.38";"kg";"Non";"Non"
2019;"01110";"2090111";"6.75";"l";"Non";"Non"
2019;"01110";"2090118";"40";"l";"Non";"Non"
2019;"01110";"2090132";"40";"l";"Non";"Non"
2019;"01110";"2090160";"25";"l";"Non";"Non"
2019;"01110";"2100009";"1.92";"kg";"Non";"Non"
2019;"01110";"2100057";"25";"l";"Non";"Non"
2019;"01110";"2100138";"35";"l";"Non";"Non"
2019;"01110";"2100221";"1.5";"kg";"Non";"Non"
2019;"01110";"2110073";"0.2";"l";"Non";"Non"
2019;"01110";"2110102";"11.37";"l";"Non";"Non"
2019;"01110";"2110149";"1.69";"l";"Oui";"Non"
2019;"01110";"2110150";"0.47";"l";"Oui";"Non"
2019;"01110";"2110168";"0.3";"l";"Non";"Non"
2019;"01110";"2120034";"90";"l";"Non";"Non"
2019;"01110";"2120179";"3.6";"kg";"Non";"Non"
2019;"01110";"2130049";"0.3";"l";"Non";"Non"
2019;"01110";"2130068";"3";"l";"Non";"Non"
2019;"01110";"2130152";"0.13";"l";"Non";"Non"
2019;"01110";"2140121";"3.76";"l";"Oui";"Non"
2019;"01110";"2150083";"1.5";"l";"Non";"Non"
2019;"01110";"2150417";"0.02";"kg";"Oui";"Non"
2019;"01110";"2150484";"1";"l";"Non";"Non"
2019;"01110";"2150790";"2";"kg";"Oui";"Non"
2019;"01110";"2160931";"15";"l";"Non";"Non"
2019;"01110";"2160936";"8";"l";"Non";"Non"
2019;"01110";"2171119";"0.4";"kg";"Non";"Non"
2019;"01110";"7700078";"15";"l";"Non";"Non"
2019;"01110";"8700107";"20";"kg";"Non";"Non"
2019;"01110";"8800841";"0.5";"l";"Non";"Non"
2019;"01110";"9000259";"0.12";"kg";"Non";"Non"
2019;"01110";"9400280";"0.2";"kg";"Non";"Non"
2019;"01110";"9700070";"0.05";"kg";"Non";"Non"
2019;"01110";"9700329";"2";"l";"Non";"Non"
2019;"01110";"9800244";"0.75";"kg";"Non";"Non"
2019;"01110";"9800262";"0.2";"kg";"Non";"Non"
2019;"01110";"9800336";"1";"l";"Non";"Non"
2019;"01110";"9800420";"0.2";"l";"Non";"Non"
2019;"01110";"9900037";"0.75";"kg";"Non";"Non"
2019;"01110";"9900340";"80";"l";"Non";"Non"
2019;"01120";"2000003";"133.25";"l";"Non";"Non"
2019;"01120";"2000044";"10";"l";"Non";"Non"
2019;"01120";"2000122";"0.62";"l";"Non";"Non"
2019;"01120";"2000299";"7";"l";"Non";"Non"
2019;"01120";"2000327";"12";"l";"Non";"Non"
2019;"01120";"2000369";"0.3";"kg";"Non";"Non"
2019;"01120";"2000461";"95";"l";"Non";"Non"
2019;"01120";"2010030";"55";"l";"Non";"Non"
2019;"01120";"2010239";"20";"l";"Non";"Non"
2019;"01120";"2010280";"10.92";"l";"Non";"Non"
2019;"01120";"2010282";"15";"l";"Non";"Non"
2019;"01120";"2010310";"20";"l";"Non";"Non"
2019;"01120";"2010415";"1065";"l";"Non";"Non"
2019;"01120";"2010513";"10";"kg";"Non";"Non"
2019;"01120";"2020021";"80";"l";"Non";"Non"
2019;"01120";"2020069";"5";"l";"Non";"Non"
2019;"01120";"2020474";"30";"l";"Non";"Non"
2019;"01120";"2030255";"225";"l";"Non";"Non"
2019;"01120";"2030323";"31.81";"l";"Non";"Non"
2019;"01120";"2040146";"8.22";"l";"Non";"Non"
2019;"01120";"2040330";"30";"kg";"Non";"Non"
2019;"01120";"2050046";"3";"kg";"Non";"Non"
2019;"01120";"2050075";"2";"kg";"Non";"Non"
2019;"01120";"2060051";"5";"l";"Non";"Non"
2019;"01120";"2060088";"2025";"l";"Non";"Non"
2019;"01120";"2060098";"1";"l";"Non";"Non"
2019;"01120";"2060113";"1";"l";"Non";"Non"
2019;"01120";"2060127";"5.87";"l";"Non";"Non"
2019;"01120";"2060134";"18";"kg";"Non";"Non"
2019;"01120";"2060175";"200";"kg";"Oui";"Non"
2019;"01120";"2060194";"312";"kg";"Non";"Non"
